cds_code,website,email,domain,school_name,county,district
01100170130625,https://www.alternativesinaction.org,dzarazua@alternativesinaction.org,www.alternativesinaction.org,Alternatives in Action,Alameda,Alameda County Office of Education
01100170114363,https://www.aimsk12.org,marco.menendez@aimsk12.org,www.aimsk12.org,American Indian Public Charter School II,Alameda,Alameda County Office of Education
01100170123968,https://www.communityschoolforcreativeeducation.org,info@communityschoolforcreativeeducation.org,www.communityschoolforcreativeeducation.org,Community School for Creative Education,Alameda,Alameda County Office of Education
01100170136101,https://www.cweastbay.org,jlevers@cwcharter.org,www.cweastbay.org,Connecting Waters Charter - East Bay,Alameda,Alameda County Office of Education
01100176001788,https://www.efcps.org,cbo@efcps.net,www.efcps.org,Cox Academy,Alameda,Alameda County Office of Education
01100170112607,https://www.envisionacademy.org/,info@envisionacademy.org,www.envisionacademy.org,Envision Academy for Arts & Technology,Alameda,Alameda County Office of Education
01100170138867,https://www.haywardcollegiate.org,ami.ortiz@navigatorschools.org,www.haywardcollegiate.org,Hayward Collegiate Charter,Alameda,Alameda County Office of Education
01100170126748,https://www.leadps.org,info@leadps.org,www.leadps.org,LPS Oakland R & D Campus,Alameda,Alameda County Office of Education
01100170131581,https://www.unitymiddle.org,dgrant@unitymiddle.org,www.unitymiddle.org,Oakland Unity Middle,Alameda,Alameda County Office of Education
01100170136226,https://www.acoe.org,eguthertz@acoe.org,www.acoe.org,Opportunity Academy,Alameda,Alameda County Office of Education
01100170124172,https://www.yumingschool.org,office@yumingschool.org,www.yumingschool.org,Yu Ming Charter,Alameda,Alameda County Office of Education
01611190130609,https://www.alamedaclc.org,annalisa.moore@clcschools.org,www.alamedaclc.org,Alameda Community Learning Center,Alameda,Alameda Unified
01611190119222,https://www.clcschools.org,annalisa.moore@clcschools.org,www.clcschools.org,Nea Community Learning Center,Alameda,Alameda Unified
01611190122085,http://aoaschools.org/,jburget@aoaschools.org,aoaschools.org,The Academy of Alameda,Alameda,Alameda Unified
01611760130534,https://www.coilk12.net,coilcharter@fusdk12.net,www.coilk12.net,Circle of Independent Learning,Alameda,Fremont Unified
01611920127944,https://www.haywardtwinoaks.org,info@haywardtwinoaks.org,www.haywardtwinoaks.org,Hayward Twin Oaks Montessori,Alameda,Hayward Unified
01611920137646,https://www.es-impact.org,info@es-impact.org,www.es-impact.org,Impact Academy of Arts & Technology,Alameda,Hayward Unified
01611920127696,https://www.keyacademycharter.org,contact@keyacademycharter.org,www.keyacademycharter.org,Knowledge Enlightens You (KEY) Academy,Alameda,Hayward Unified
01612590115238,https://www.arisehighschool.org,karla@arisehighschool.org,www.arisehighschool.org,ARISE High,Alameda,Oakland Unified
01612590109819,https://www.aspirepublicschools.org,aspirebma@aspirepublicschools.org,www.aspirepublicschools.org,Aspire Berkley Maynard Academy,Alameda,Oakland Unified
01612590106906,https://www.baytechschool.org,info@baytechschool.org,www.baytechschool.org,Bay Area Technology,Alameda,Oakland Unified
01612590129635,https://www.amethodschools.org,abarnes@amethodschools.org,www.amethodschools.org,Downtown Charter Academy,Alameda,Oakland Unified
01612590129932,http://eastbayia.org,info@eastbayia.org,eastbayia.org,East Bay Innovation Academy,Alameda,Oakland Unified
01612590132514,https://www.francophoneschool.wordpress.com,contact@francophoneschool.org,www.francophoneschool.wordpress.com,Francophone Charter School of Oakland,Alameda,Oakland Unified
01612590115014,http://bridge.kippnorcal.org/,opsadmin@kippnorcal.org,bridge.kippnorcal.org,KIPP Bridge Academy,Alameda,Oakland Unified
01612590130633,https://www.lighthousecharter.org,info@lighthousecharter.org,www.lighthousecharter.org,Lighthouse Community Charter,Alameda,Oakland Unified
