cds_code,county,district,school,school_type,sector_type,charter,status,details_url,email,administrator,cds code,educational program type,fax number,high grade,last updated,located within the boundaries of this public school district,low grade,mailing address,open date,phone number,public school,school address,school type,statistical info,virtual instruction,web address
01611196933154,Alameda,Alameda Unified,Saint Joseph Notre Dame High School,High Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611196933154,skim@sjnd.org,Mr. Steve Kim (Custodian of Records) skim@sjnd.org,01 61119 6933154,Information Not Available,(510) 523-2181,12,"November 26, 2024",Alameda Unified,9,"1011 Chestnut St. Alameda, CA 94501-4315","July 1, 1980",(510) 523-1526,No,"1011 Chestnut St. Alameda, CA 94501-4315 Google Map Link opens new browser tab",High Schools (Private),Link to CDE Private School Data page,,www.sjnd.org Link opens new browser tab
01611196965891,Alameda,Alameda Unified,St. Joseph Elementary,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611196965891,dcolvert@csdo.org,Mrs. Danielle Colvert Principal dcolvert@csdo.org Mrs. Danielle Colvert (Custodian of Records) dcolvert@csdo.org,01 61119 6965891,Information Not Available,(510) 522-2890,8,"November 26, 2024",Alameda Unified,K,"1910 San Antonio Ave. Alameda, CA 94501-4216","July 1, 1980",(510) 522-4456,No,"1910 San Antonio Ave. Alameda, CA 94501-4216 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.stjosephalameda.org Link opens new browser tab
01611196973077,Alameda,Alameda Unified,St. Philip Neri Elementary,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611196973077,juthomas@csdo.org,Ms. Julie Thomas Principal juthomas@csdo.org Mrs. Mina Bravo (Custodian of Records) mbravo@csdo.org,01 61119 6973077,Information Not Available,(510) 521-2418,8,"August 6, 2025",Alameda Unified,K,"1335 High St. Alameda, CA 94501-3165","July 1, 1980",(510) 521-0787,No,"1335 High St. Alameda, CA 94501-3165 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.spnalameda.org Link opens new browser tab
01611196979140,Alameda,Alameda Unified,The Phillips Academy,Ungraded Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611196979140,admin@thephillipsacademy.org,Mr. Allan Chatman Principal achatman@thephillipsacademy.org Joanna Wong (Custodian of Records) jwong@thephillipsacademy.org,01 61119 6979140,Nonpublic Certified School,(510) 769-1824,11,"September 30, 2024",Alameda Unified,6,"1910 Central Ave. Alameda, CA 94501-2623","July 1, 1980",(510) 769-7100,No,"1910 Central Ave. Alameda, CA 94501-2623 Google Map Link opens new browser tab",Ungraded Schools (Private),Link to CDE Private School Data page,,www.thephillipsacademy.org Link opens new browser tab
01611436900757,Alameda,Berkeley Unified,Ecole Bilingue De Berkeley,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436900757,hosoffice@eb.org,Mr. Sebastien Robert (Custodian of Records) srobert@eb.org,01 61143 6900757,Information Not Available,(510) 845-8712,8,"November 26, 2024",Berkeley Unified,K,"1009 Heinz Ave. Berkeley, CA 94710-2718","July 1, 1980",(510) 809-0602,No,"1009 Heinz Ave. Berkeley, CA 94710-2718 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.eb.org Link opens new browser tab
01611436928766,Alameda,Berkeley Unified,Crowden School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436928766,info@crowden.org,Mr. Dan Meyers Head of School dmeyers@crowden.org Dan Meyers (Custodian of Records) dmeyers@crowden.org,01 61143 6928766,Information Not Available,(510) 559-6940,8,"September 5, 2025",Berkeley Unified,K,"1475 Rose St. Berkeley, CA 94702-1255","July 1, 1980",(510) 559-6910,No,"1475 Rose St. Berkeley, CA 94702-1255 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.crowden.org/school/ Link opens new browser tab
01611436932990,Alameda,Berkeley Unified,Maybeck High School,High Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436932990,ranjanaz@maybeckhs.org,Ms. Ranjana Zunino Administrator RZunino@maybeckhs.org Ms. Anne Crowley (Custodian of Records) annec@maybeckhs.org,01 61143 6932990,Information Not Available,Information Not Available,12,"November 26, 2024",Berkeley Unified,9,"2727 College Ave. Berkeley, CA 94705-1247","July 1, 1980",(510) 841-8489,No,"2727 College Ave. Berkeley, CA 94705-1247 Google Map Link opens new browser tab",High Schools (Private),Link to CDE Private School Data page,,www.maybeckhs.org Link opens new browser tab
01611436933162,Alameda,Berkeley Unified,Saint Mary's College High School,High Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436933162,kwendt@stmchs.org,Dr. Peter Imperial Principal pimperial@stmchs.org Mrs. Carol Balding (Custodian of Records) cbalding@stmchs.org,01 61143 6933162,Information Not Available,(510) 559-6277,12,"September 3, 2025",Berkeley Unified,9,"1294 Albina Ave. Berkeley, CA 94706-2599","July 1, 1980",(510) 526-9242,No,"1294 Albina Ave. Berkeley, CA 94706-2599 Google Map Link opens new browser tab",High Schools (Private),Link to CDE Private School Data page,,www.saintmaryschs.org Link opens new browser tab
01611436967442,Alameda,Berkeley Unified,The Berkeley School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436967442,info@theberkeleyschool.org,Elise Wilks Administrator ewilks@theberkeleyschool.org Andie Gaeta (Custodian of Records) agaeta@theberkeleyschool.org,01 61143 6967442,Information Not Available,(510) 665-8700,8,"August 6, 2025",Berkeley Unified,K,"1310 University Ave. Berkeley, CA 94702-1711","July 1, 1980",(510) 665-8800,No,"1310 University Ave. Berkeley, CA 94702-1711 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.theberkeleyschool.org/ Link opens new browser tab
01611436972723,Alameda,Berkeley Unified,Berkwood Hedge School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436972723,april@berkwood.org,Ms. Jules Davtyan Administrator operations@berkwood.org Mrs. Jules Davtyan (Custodian of Records) operatiojns@berkwood.org,01 61143 6972723,Information Not Available,Information Not Available,8,"August 6, 2025",Berkeley Unified,K,"1809 Bancroft Way Berkeley, CA 94703-1711","July 1, 1980",(510) 883-6990,No,"1809 Bancroft Way Berkeley, CA 94703-1711 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.berkwood.org Link opens new browser tab
