cds_code,county,district,school,school_type,sector_type,charter,status,details_url,email,administrator,cds code,cds coordinator contact for data updates,charter funding type,charter number,chief business official,educational program type,fax number,federal charter district id,high grade,last updated,low grade,magnet,mailing address,multilingual instruction,nces_federal school id,open date,phone number,public school,school address,school type,statistical info,virtual instruction,web address,year round
01100170130625,Alameda,Alameda County Office of Education,Alternatives in Action,High Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170130625,dzarazua@alternativesinaction.org,Daniel Zarazua Administrator (510) 285-6290 dzarazua@alternativesinaction.org,01 10017 0130625,Abraham Zamora (510) 670-4131 Request Data Update(s),Directly funded,0398,Sara Zamora Business Analyst (510) 285-6290 szamora@edtec.com,Traditional,(510) 748-4326,0601635,12,"May 23, 2025",9,No,"6221 East 17th St. Oakland, CA 94621-4107",No,08674,"September 4, 2001",(510) 748-4314,Yes,"6221 East 17th St. Oakland, CA 94621-4107 Google Map Link opens new browser tab",High Schools (Public),Link to School Profile,Not Virtual,www.alternativesinaction.org Link opens new browser tab,No
01100170114363,Alameda,Alameda County Office of Education,American Indian Public Charter School II,Elementary Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170114363,marco.menendez@aimsk12.org,Marco Menendez Executive Director marco.menendez@aimsk12.org,01 10017 0114363,Abraham Zamora (510) 670-4131 Request Data Update(s),Directly funded,0882,Katema Ballentine Chief Business Officer (510) 893-8701 katema.ballentine@aimsk12.org,Traditional,(510) 893-0345,0601880,8,"September 8, 2025",K,No,"171 12th St. Oakland, CA 94607-4900",No,12013,"July 1, 2007",(510) 893-8701,Yes,"171 12th St. Oakland, CA 94607-4900 Google Map Link opens new browser tab",Elementary Schools (Public),Link to School Profile,Not Virtual,www.aimsk12.org Link opens new browser tab,No
01100170123968,Alameda,Alameda County Office of Education,Community School for Creative Education,Elementary Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170123968,info@communityschoolforcreativeeducation.org,Anayaxy Barraza Head of School (510) 424-4649 anayaxyb@communityschoolforcreativeeducation.org,01 10017 0123968,Abraham Zamora (510) 670-4131 Request Data Update(s),Directly funded,1284,Kimberly Palmore Finance and Operations Director (510) 916-8893 kimberlyp@communityschoolforcreativeeducation.org,Traditional,Information Not Available,0601691,8,"May 23, 2025",K,No,"2111 International Blvd. Oakland, CA 94606-4903",Yes,12844,"August 22, 2011",(510) 686-4131,Yes,"2111 International Blvd. Oakland, CA 94606-4903 Google Map Link opens new browser tab",Elementary Schools (Public),Link to School Profile,Not Virtual,www.communityschoolforcreativeeducation.org Link opens new browser tab,No
01100170136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,K-12 Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170136101,jlevers@cwcharter.org,Mrs. Jerri Levers Executive Director (209) 874-1119 Ext. 6 jlevers@cwcharter.org,01 10017 0136101,Abraham Zamora (510) 670-4131 Request Data Update(s),Directly funded,1881,Malinda Miller Business Services Coordinator (209) 874-1119 Ext. 368 mmiller@cwcharter.org,Traditional,(209) 874-9531,0602159,12,"May 23, 2025",K,No,"12420 Bentley St. Waterford, CA 95386-9150",No,14091,"August 16, 2017",(209) 874-1119 Ext. 6,Yes,"703 C St. Union City, CA 94587-2195 Google Map Link opens new browser tab",K-12 Schools (Public),Link to School Profile,Not Virtual,www.cweastbay.org Link opens new browser tab,No
01100176001788,Alameda,Alameda County Office of Education,Cox Academy,Elementary Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100176001788,cbo@efcps.net,Larissa Adam Superintendent of Schools cdecox@efcps.net,01 10017 6001788,Abraham Zamora (510) 670-4131 Request Data Update(s),Directly funded,0740,Sundar Chari Chief Strategy Officer (510) 904-6376 cbo@efcps.net,Traditional,(510) 904-6377,0601718,5,"May 23, 2025",K,No,"333 Hegenberger Rd., Ste. 705 Oakland, CA 94621",No,04257,"July 1, 1980",(510) 904-6300,Yes,"9860 Sunnyside St. Oakland, CA 94603-2750 Google Map Link opens new browser tab",Elementary Schools (Public),Link to School Profile,Not Virtual,www.efcps.org Link opens new browser tab,No
01100170112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,K-12 Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170112607,info@envisionacademy.org,Elizabeth Raji-Greg Superintendent of Schools (510) 451-2415 compliance@envisionschools.org,01 10017 0112607,Abraham Zamora (510) 670-4131 Request Data Update(s),Directly funded,0811,Elizabeth Choi Chief Operating Officer (510) 451-2415 echoi@envisionschools.org,Traditional,(510) 596-8905,0601614,12,"May 23, 2025",6,No,"1515 Webster St. Oakland, CA 94612",No,10947,"August 28, 2006",(510) 596-8901,Yes,"1515 Webster St. Oakland, CA 94612-3355 Google Map Link opens new browser tab",K-12 Schools (Public),Link to School Profile,Not Virtual,www.envisionacademy.org/ Link opens new browser tab,No
01100170138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,Elementary Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170138867,ami.ortiz@navigatorschools.org,Danilo Juarez Administrator danilo.juarez@navigatorschools.org,01 10017 0138867,Abraham Zamora (510) 670-4131 Request Data Update(s),Directly funded,2027,"Ami Ortiz Director, Business and Finance (831) 217-4881 ami.ortiz@navigatorschools.org",Traditional,Information Not Available,0602523,6,"August 29, 2025",K,No,"650 San Benito St. Ste. 230 Hollister, CA 95023",No,14443,"August 19, 2019",(650) 520-3915,Yes,"166 West Harder Rd. Hayward, CA 94544-2742 Google Map Link opens new browser tab",Elementary Schools (Public),Link to School Profile,Not Virtual,www.haywardcollegiate.org Link opens new browser tab,No
01100176002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,Elementary Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100176002000,cbo@efcps.net,Kaitlin Friedman Principal cdelazear@efcps.net,01 10017 6002000,Abraham Zamora (510) 670-4131 Request Data Update(s),Directly funded,1464,Sundar Chari Chief Strategy Officer (510) 904-6376 cbo@efcps.net,Traditional,(510) 904-6765,0602405,8,"May 23, 2025",K,No,"333 Hegenberger Rd. Ste. 705 Oakland, CA 94621",No,04288,"July 1, 1980",(510) 689-2018,Yes,"824 29th Ave. Oakland, CA 94601-2205 Google Map Link opens new browser tab",Elementary Schools (Public),Link to School Profile,Not Virtual,www.efcps.org Link opens new browser tab,No
01100170126748,Alameda,Alameda County Office of Education,LPS Oakland R & D Campus,High Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170126748,info@leadps.org,Dr. Brent Daniels Superintendent (510) 830-3780 lpssuperintendent@leadps.org,01 10017 0126748,Abraham Zamora (510) 670-4131 Request Data Update(s),Directly funded,1449,Chanthip Phongkhamsavath Chief Business Official (510) 290-5332 cphongkhamsavath@leadps.org,Traditional,(510) 291-9783,0601967,12,"July 7, 2025",9,No,"99 Linden St. Oakland, CA 94607",No,13155,"August 21, 2012",(510) 633-0750,Yes,"8601 MacArthur Blvd., Bldg. 100 Oakland, CA 94605-4037 Google Map Link opens new browser tab",High Schools (Public),Link to School Profile,Not Virtual,www.leadps.org Link opens new browser tab,No
01100170131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,Intermediate/Middle Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170131581,dgrant@unitymiddle.org,Sau-Lim (Lance) Tsang Executive Director (510) 427-2736 stsang@unityhigh.org,01 10017 0131581,Abraham Zamora (510) 670-4131 Request Data Update(s),Directly funded,1707,Damon Grant School Leader (510) 969-5302 dgrant@unitymiddle.org,Traditional,(510) 763-1490,0602346,8,"May 23, 2025",6,No,"1180 70th Ave. Oakland, CA 94621-3216",No,13887,"August 23, 2015",(510) 564-4851,Yes,"1180 70th Ave. Oakland, CA 94621-3216 Google Map Link opens new browser tab",Intermediate/Middle Schools (Public),Link to School Profile,Not Virtual,www.unitymiddle.org Link opens new browser tab,Yes
